timestamp,solar_radiation,temperature,humidity,wind_speed,pressure
2023-12-05,1.3757,5.24,74.31,4.04,101.51
2023-12-06,1.4119,3.81,76.69,5.85,101.46
2023-12-07,0.6067,3.16,81.66,5.66,101.62
2023-12-08,2.112,6.39,78.43,3.37,102.06
2023-12-09,2.0023,9.59,96.94,3.69,102.05
2023-12-10,0.6151,11.82,97.55,7.69,101.05
2023-12-11,1.3099,5.83,82.63,9.11,100.92
2023-12-12,2.5963,4.14,75.0,6.23,102.78
2023-12-13,2.471,4.52,78.7,6.33,103.08
2023-12-14,2.2138,2.86,70.11,4.99,103.53
2023-12-15,2.4094,6.2,82.95,6.26,102.73
2023-12-16,2.1847,7.34,85.48,5.02,103.01
2023-12-17,0.5556,10.31,93.91,7.77,101.98
2023-12-18,0.4932,11.46,87.64,12.12,99.16
2023-12-19,1.6363,3.89,78.94,7.53,101.46
2023-12-20,2.2214,2.83,78.31,6.25,102.66
2023-12-21,2.3534,2.61,76.21,6.64,102.88
2023-12-22,2.0477,1.1,62.8,3.19,103.04
2023-12-23,1.297,5.05,70.32,2.67,103.03
2023-12-24,0.9631,7.22,89.15,2.27,102.83
2023-12-25,1.3699,7.66,96.01,2.36,102.82
2023-12-26,1.0699,7.13,95.96,2.08,102.44
2023-12-27,0.7522,7.84,97.33,4.45,101.58
2023-12-28,1.2871,9.68,96.21,4.97,100.39
2023-12-29,1.889,8.79,92.3,3.48,100.35
2023-12-30,1.0814,5.47,88.04,6.38,100.4
2023-12-31,0.8518,4.55,73.84,4.62,101.4
2024-01-01,1.2074,4.98,81.54,3.23,101.57
2024-01-02,2.5315,2.2,77.8,4.98,101.72
2024-01-03,1.9601,3.46,78.21,3.76,101.53
2024-01-04,1.5398,3.29,75.73,6.12,101.52
2024-01-05,2.6779,0.51,73.77,5.5,102.35
2024-01-06,0.4656,3.13,81.29,6.42,101.57
2024-01-07,1.3296,3.27,92.59,7.89,100.38
2024-01-08,2.4086,3.22,74.24,4.97,102.55
2024-01-09,0.5069,7.38,82.64,9.98,101.52
2024-01-10,1.3594,8.33,80.51,10.85,99.29
2024-01-11,2.5788,5.13,80.07,6.38,101.03
2024-01-12,2.5186,5.8,84.64,6.16,101.62
2024-01-13,1.0627,8.09,83.39,10.3,99.55
2024-01-14,1.3202,1.74,71.82,9.94,101.26
2024-01-15,1.219,-1.24,74.96,3.47,102.23
2024-01-16,0.5136,0.08,90.19,6.6,101.0
2024-01-17,2.5687,-4.06,82.55,8.61,101.54
2024-01-18,1.3872,-0.67,71.3,6.0,101.91
2024-01-19,1.7342,-0.43,82.19,5.86,100.94
2024-01-20,2.2548,-4.52,83.48,8.95,101.5
2024-01-21,2.8543,-3.09,81.15,8.39,102.65
2024-01-22,2.3369,-0.53,79.02,5.55,103.24
2024-01-23,1.271,2.08,83.8,3.86,103.16
2024-01-24,0.6358,4.64,94.92,4.03,102.94
2024-01-25,0.882,5.92,96.16,4.0,101.96
2024-01-26,1.4798,5.81,97.94,3.72,101.63
2024-01-27,1.4654,4.22,93.57,3.08,102.04
2024-01-28,0.648,3.3,94.93,7.99,100.78
2024-01-29,1.1705,2.5,86.88,7.68,100.95
2024-01-30,1.0718,1.77,80.52,4.11,102.08
2024-01-31,1.1239,2.76,78.19,3.02,101.9
2024-02-01,1.5007,4.19,87.78,3.8,101.45
2024-02-02,1.128,4.4,92.73,4.31,101.1
2024-02-03,2.4943,1.86,79.16,6.72,101.6
2024-02-04,3.5287,2.27,75.47,4.93,101.4
2024-02-05,3.5772,1.87,72.65,6.15,101.3
2024-02-06,3.6317,1.49,75.82,5.98,102.0
2024-02-07,3.4649,3.37,78.43,3.47,102.41
2024-02-08,3.1097,4.71,82.16,2.37,102.41
2024-02-09,3.3353,5.96,94.66,4.62,101.78
